from_id,from施設名,to_id,to施設名,distance_km,driving_minutes
F0001,あしかがフラワーパーク,F0121,桐生が岡動物園,20.01,50
F0001,あしかがフラワーパーク,F0122,ぐんまこどもの国,13.54,40
F0001,あしかがフラワーパーク,F0154,水沼駅温泉センター,29.95,65
F0002,道の駅 どまんなか たぬま,F0121,桐生が岡動物園,22.46,50
F0002,道の駅 どまんなか たぬま,F0122,ぐんまこどもの国,18.41,35
F0009,華厳滝観瀑台,F0113,吹割の滝,26.74,80
F0009,華厳滝観瀑台,F0156,菅沼キャンプ村,14.61,35
F0009,華厳滝観瀑台,F0171,白根山,13.26,35
F0009,華厳滝観瀑台,F0173,尾瀬沼,27.28,100
F0009,華厳滝観瀑台,F0178,丸沼,17.33,45
F0009,華厳滝観瀑台,F0179,吹割渓谷,26.74,80
F0012,史跡足利学校跡,F0121,桐生が岡動物園,13.87,40
F0012,史跡足利学校跡,F0122,ぐんまこどもの国,7.81,30
F0012,史跡足利学校跡,F0154,水沼駅温泉センター,24.08,60
F0012,史跡足利学校跡,F0211,妙ちくりん,25.25,40
F0013,イタリア大使館別荘記念公園,F0113,吹割の滝,24.92,85
F0013,イタリア大使館別荘記念公園,F0156,菅沼キャンプ村,14.43,40
F0013,イタリア大使館別荘記念公園,F0171,白根山,12.73,40
F0013,イタリア大使館別荘記念公園,F0173,尾瀬沼,27.35,105
F0013,イタリア大使館別荘記念公園,F0178,丸沼,16.9,50
F0013,イタリア大使館別荘記念公園,F0179,吹割渓谷,24.91,85
F0017,道の駅 みかも,F0121,桐生が岡動物園,29.04,55
F0017,道の駅 みかも,F0122,ぐんまこどもの国,23.11,40
F0019,明智平展望台,F0113,吹割の滝,27.66,80
F0019,明智平展望台,F0156,菅沼キャンプ村,15.36,35
F0019,明智平展望台,F0171,白根山,14.1,35
F0019,明智平展望台,F0173,尾瀬沼,27.94,100
F0019,明智平展望台,F0178,丸沼,18.13,45
F0019,明智平展望台,F0179,吹割渓谷,27.66,80
F0022,みかも山公園,F0121,桐生が岡動物園,28.7,55
F0022,みかも山公園,F0122,ぐんまこどもの国,23.18,40
F0036,大笹牧場 レストハウス,F0156,菅沼キャンプ村,21.29,90
F0036,大笹牧場 レストハウス,F0171,白根山,21.99,90
F0036,大笹牧場 レストハウス,F0173,尾瀬沼,29.45,155
F0036,大笹牧場 レストハウス,F0178,丸沼,24.39,100
F0041,東北自動車道佐野サービスエリア（下り）,F0121,桐生が岡動物園,27.52,55
F0041,東北自動車道佐野サービスエリア（下り）,F0122,ぐんまこどもの国,22.42,40
F0042,おぐら屋,F0121,桐生が岡動物園,19.14,50
F0042,おぐら屋,F0122,ぐんまこどもの国,16.23,35
F0042,おぐら屋,F0154,水沼駅温泉センター,28.1,60
