施設名,住所,施設ID,緯度,経度
あしかがフラワーパーク,〒329-4216  栃木県足利市迫間町607,F0001,36.3141561,139.5200222
道の駅 どまんなか たぬま,〒327-0313  栃木県佐野市吉水366-2,F0002,36.3438044,139.5721111
宇都宮動物園,〒321-2115  栃木県宇都宮市上金井町552番地2,F0003,36.6328567,139.85336
栃木県なかがわ水遊園,〒324-0404  栃木県大田原市佐良土2686,F0004,36.790613,140.128634
道の駅 うつのみや ろまんちっく村,〒321-2118  栃木県宇都宮市新里町丙254,F0005,36.6328044,139.8291519
日光街道,〒321-1423  栃木県日光市今市,F0006,36.10107,139.7231272
道の駅 那須高原友愛の森,〒325-0303  栃木県那須郡那須町高久乙593-8,F0007,37.0407961,140.0133869
塩原温泉 湯っ歩の里,〒329-2921  栃木県那須塩原市塩原602-1,F0008,36.9683316,139.8222942
華厳滝観瀑台,〒321-1661  栃木県日光市中宮祠,F0009,36.7378402,139.5040192
もみじ谷大吊橋,〒329-2801  栃木県那須塩原市関谷1425-60,F0010,36.9549769,139.8794436
道の駅 もてぎ,〒321-3531  栃木県芳賀郡茂木町茂木1090-1,F0011,36.527966,140.1725936
史跡足利学校跡,〒326-0813  栃木県足利市昌平町2338,F0012,36.3359472,139.4534861
イタリア大使館別荘記念公園,〒321-1661  栃木県日光市中宮祠2482,F0013,36.7250563,139.4853931
平和観音,〒321-0345  栃木県宇都宮市大谷町1174,F0014,36.5960017,139.8203096
井頭公園,〒321-4415  栃木県真岡市下篭谷99,F0015,36.4941476,139.9977745
大谷寺・大谷観音,〒321-0345  栃木県宇都宮市大谷町1198番地,F0016,36.5962372,139.8207829
道の駅 みかも,〒323-1107  栃木県栃木市藤岡町大田和678,F0017,36.2967521,139.6254523
道の駅 きつれがわ,〒329-1412  栃木県さくら市喜連川4145-10,F0018,36.7154994,140.0326364
明智平展望台,〒321-1445  栃木県日光市細尾深沢,F0019,36.7374928,139.514514
道の駅 那須与一の郷,〒324-0012  栃木県大田原市南金丸1584-6,F0020,36.8622289,140.0877217
宇都宮城址公園,〒320-0817  栃木県宇都宮市本丸町、旭1丁目地内,F0021,36.5546591,139.8850377
みかも山公園,〒323-1107  栃木県栃木市藤岡町大田和761-1,F0022,36.3057629,139.6271045
真岡鐵道真岡駅,〒321-4306  栃木県真岡市台町2474-1,F0023,36.439188,140.0025757
八幡山公園,〒320-0027  栃木県宇都宮市塙田5丁目2番70号,F0024,36.5707184,139.8850851
栃木県中央公園,〒320-0865  栃木県宇都宮市睦町2-50,F0025,36.5583943,139.8628818
鬼怒川公園,〒321-2521  栃木県日光市藤原,F0026,36.8405282,139.7233668
道の駅 ばとう,〒324-0617  栃木県那須郡那珂川町北向田181-2,F0027,36.74758,140.149897
回顧の吊橋,〒329-2801  栃木県那須塩原市関谷,F0028,36.9608203,139.8770731
チーズガーデン 那須本店,〒325-0001  栃木県那須郡那須町大字高久甲2888-64,F0029,37.0289919,140.0235871
宇都宮みんみん 本店,〒321-0000  栃木県宇都宮市馬場通り4-2-3,F0030,36.5616133,139.8873684
千本松牧場,〒329-2747  栃木県那須塩原市千本松799,F0031,36.9237531,139.9333966
まさし宮島店,〒320-0026  栃木県宇都宮市馬場通り4-3-18,F0032,36.5616357,139.88771
ベーカリーカフェ・ペニーレイン,〒325-0301  栃木県那須郡那須町湯本656-2,F0033,37.06890996,140.0000642
