No,温泉名,施設名,施設ID,画像1,画像2,画像3,ジャンル,カテゴリー1,カテゴリー2,カテゴリー3,カテゴリー4,カテゴリー5,カテゴリー6,カテゴリー7,口コミ点数,口コミ件数,説明テキスト,住所,緯度,経度,営業期間,滞在時間（分）,優先表示フラグ,スポット番号,次の場所までの移動時間
1,,あしかがフラワーパーク,F0001,,,,観光,王道,,,,,,,4.4,1679,"ＣＮＮ「世界の夢の旅行先」に日本から唯一選出されたあしかがフラワーパーク。大藤や白藤のトンネルは栃木県天然記念物に指定されています。

冬季にはイルミネーションが点灯し、非常にあざやか。平成29年11月、「日本三大イルミネーション」に認定されました。
【料金】 大人: 300円 ～1,900円/子ども 100円～900円 ※花の咲き具合により料金が変動します。 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒329-4216  栃木県足利市迫間町607,36.3141561,139.5200222,取得失敗,,,,
2,,道の駅 どまんなか たぬま,F0002,,,,観光,王道,,,,,,,4.1,473,※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒327-0313  栃木県佐野市吉水366-2,36.3438044,139.5721111,"開館時間：日月火木金土祝 9:30～19:00 インフォメーションカウンター
休館日：水 1月1日～1月2日 水曜日が祝祭日にあたる場合は営業いたします。",,,,
3,那須塩原温泉,宇都宮動物園,F0003,,,,観光,王道,,,,,,,4.1,524,"遊園地や屋外プール（夏季のみ営業），釣り堀などもある動物園。園内では草食動物用の餌100円をキリンやゾウにあげることができる。また，ウサギや羊などの動物とのふれあいコーナーも人気。
【料金】 大人: 1400円 子供: 700円 (3歳～中学生） ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒321-2115  栃木県宇都宮市上金井町552番地2,36.6328567,139.85336,"その他：公開 3月～11月 9:00～17:00
休業 無休
公開 1月～2月 9:00～16:30",,,,
4,,栃木県なかがわ水遊園,F0004,,,,観光,王道,,,,,,,4.3,275,栃木県唯一の水族館であり、全国的にも珍しい淡水魚の水族館。栃木の清流那珂川から、アマゾン川に棲む魚まで約330種の生き物たちを展示。週末ごとに開催される体験講座では、地元の伝統文化を、工作や調理等の体験を通して学ぶことができる。 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒324-0404  栃木県大田原市佐良土2686,36.790613,140.128634,"開館時間：9：30～16：30　(水族館の入館は、閉館30分前まで)
休館日：月曜日　第４木曜日　※１月の第４週月曜日から金曜は施設メンテナンスで休館",,,,
5,,道の駅 うつのみや ろまんちっく村,F0005,,,,観光,王道,,,,,,,4.0,477,広大な敷地の中に，天然温泉や温水プール，宿泊施設を備えるほか，地元の食材が楽しめるレストランや地ビールを醸造するブルワリーなど，１日中楽しめる要素が満載の滞在型体験ファームパークです。 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒321-2118  栃木県宇都宮市新里町丙254,36.6328044,139.8291519,"営業時間：8:30～18:00
休業日：毎月第二火曜日、祝日の場合は翌日",,,,
6,那須塩原温泉,日光街道,F0006,,,,観光,王道,,,,,,,4.1,368,"日光街道・例幣使街道・会津西街道の両側に延長３７ｋｍにわたってつづく杉並木で、松平正綱が日光東照宮鎮座の後に、紀州熊野から２０万本余りの杉苗を取り寄せ、植樹して寄進したものである。現在、その内１万４０００余本が残っており、ほとんどが樹齢３３０年以上の老杉である。その由緒を記した寄進碑が日光神橋畔と今市の大沢・大桑・小倉に立てられている。日光街道を宇都宮へ向かう右側にある杉に桜が寄生した珍しい桜杉がある。
延長 16.52ｋｍ ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒321-1423  栃木県日光市今市,36.10107,139.7231272,取得失敗,,,,
7,那須塩原温泉,道の駅 那須高原友愛の森,F0007,,,,観光,王道,,,,,,,3.9,700,※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒325-0303  栃木県那須郡那須町高久乙593-8,37.0407961,140.0133869,"営業：4月～9月 08:00～18:00 観光交流センターは年中無休
営業：10月～3月 09:00～18:00 観光交流センターは年中無休",,,,
8,那須塩原温泉,塩原温泉 湯っ歩の里,F0008,,,,観光,ネット予約OK,王道,,,,,,4.0,388,平成１８年８月には塩原温泉開湯１２００年を記念して、「湯っ歩の里」という足湯の施設ができた。「湯っ歩の里」は全長６０メートルの日本最大級の足湯である。塩原の豊かな自然を眺めながらゆっくり足湯浴を楽しめる。さらに、浴槽内には足裏を刺激する石があり、歩くことで足つぼを刺激し足湯浴の効果をアップさせてくれる。また、飲泉ができる「飲泉堂」、「湯霧、間欠泉、湯池」などの名湯塩原温泉による幻想的な世界を体験でき、これまでにない新たな癒しの温泉空間となっている。　園内は回遊型の温泉庭園では、梅、椿やツツジなど古木や四季折々の花木が鑑賞でき、塩原温泉の自然や歴史を感じながら散策することができる。温泉街の中心地にあることから、塩原観光の拠点として、塩原もの語り館、紅の吊橋、山ゆりの吊橋などの周辺観光施設を見学しながら温泉街を周遊する情報施設としても利用できる。 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒329-2921  栃木県那須塩原市塩原602-1,36.9683316,139.8222942,"開館時間：4月～11月 9:00～18:00
開館時間：12月～3月 9:00～17:00
休館日：木 祝日の場合は金曜日",,,,
9,,華厳滝観瀑台,F0009,,,,観光,王道,,,,,,,4.1,283,"エレベーターにより滝つぼ近く降りる。
【料金】 大人: 570円 華厳の滝エレベーター 小学生: 340円 華厳の滝エレベーター ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒321-1661  栃木県日光市中宮祠,36.7378402,139.5040192,"その他：営業 12月1日～2月29日 09:00～16:30
営業 3月1日～4月30日 09:00～17:00
営業 5月1日～9月30日 08:00～17:00
営業 10月1日～11月30日 08:00～17:00",,,,
10,那須塩原温泉,もみじ谷大吊橋,F0010,,,,観光,王道,,,,,,,3.6,872,"箒川下流の塩原ダム湖に架かる「無補剛桁歩道吊橋」としては本州一長い全長３２0ｍの大吊橋。　吊橋を囲む雄大な景色は、山あいを流れる箒川の渓谷美とは違った、塩原温泉の新たな魅力となっている。
【料金】 大人: 300円 子供: 200円 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒329-2801  栃木県那須塩原市関谷1425-60,36.9549769,139.8794436,"その他：休業 無休
公開 4月1日～10月31日 8:30～18:00
公開 11月1日～3月31日 8:30～16:00",,,,
11,,道の駅 もてぎ,F0011,,,,観光,王道,,,,,,,4.1,296,「おもてなし情報館」「アグリハウス」「商工館（みやげ食館）」「お結びや」「さわやかトイレ」の5つの建物があり、駐車場は250台のスペースがある。アイスクリームが人気。 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒321-3531  栃木県芳賀郡茂木町茂木1090-1,36.527966,140.1725936,"その他：営業 4月～9月 09:00～19:00
営業 10月～3月 09:00～18:00",,,,
12,,史跡足利学校跡,F0012,,,,観光,王道,,,,,,,4.0,285,"日本最古の学校といわれる。堂中の中央には孔子坐像、右には、足利学校の創立者とされる小野篁、左に徳川家康の神位を祭っている。聖廟の左に足利学校遺跡図書館があり、多数の古文書が保管されている。創立については明らかではなく、平安初期に小野篁の創立などの説がある。その歴史が明らかなのは室町中期以降で、1４３９（永享11）年に関東管領上杉憲実が鎌倉の禅宗五山のうち円覚寺の僧快元を初代庠主として学校を整備し、学則を定め学生を養成した。憲実以後もその子憲忠などが学校の基礎をかためた。1６６８（寛文８）年には幕府の力で聖廟が修築された。廃校となったのは1８７２（明治５）年のことである。

平成２７年４月に日本遺産に認定された。
【料金】 一般420円高校生220円 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒326-0813  栃木県足利市昌平町2338,36.3359472,139.4534861,"その他：受付時間 4月～9月 09:00～16:30
受付時間 10月～3月 09:00～16:00
休館日 第3水曜日、年末年始（12/29～1/3）",,,,
13,,イタリア大使館別荘記念公園,F0013,,,,観光,王道,,,,,,,4.2,152,"中禅寺湖畔の豊かな自然や、国際避暑地の歴史とのふれあいが楽しめる公園。園内の建物は、昭和3年にイタリア大使館の別荘として建てられ、平成9年まで歴代の大使が使用していたものです。本邸は床板や建具、家具等をできる限り再利用して復元し、副邸は往時の歴史を紹介する「国際避暑地歴史館」として整備されました。
【料金】 大人: 200円 英国大使館別荘記念公園との共通観覧券300円 子供: 100円 英国大使館別荘記念公園との共通観覧券300円 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒321-1661  栃木県日光市中宮祠2482,36.7250563,139.4853931,"その他：開館時間 4月1日～11月30日（日火水木金土） 09:00～16:00 5月～11月10日：9:00～17:00
6月?10月：無休、4月 ・ 5月 ・ 11月：月曜日休館（祝日の場合、翌日以降に振り替え）
休館 12月1日～3月31日",,,,
14,,平和観音,F0014,,,,観光,王道,,,,,,,3.9,262,自然の岩壁に彫られたもので、高さ27m、胴まわり20m。戦没者の慰霊と世界平和を祈念して昭和23年より6年をかけ、総手彫りで製作された。上からは大谷の町が一望できる。 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒321-0345  栃木県宇都宮市大谷町1174,36.5960017,139.8203096,取得失敗,,,,
15,,井頭公園,F0015,,,,観光,ネット予約OK,王道,,,,,,4.2,182,広大な敷地では、野鳥や四季折々の自然を楽しめる。園内には一万人プール、ボート池、自然植物園、各花木園、花ちょう遊館、鳥見亭など自然を満喫するための施設が揃う。春には井頭公園桜まつりが行われ、多くの見物客で賑わう。夏には一万人プールがオープンする。周辺には真岡井頭温泉、宿泊施設である井頭温泉チャットパレス、農産物販売交流施設「あぐ里っ娘」など、多くのスポットがある。 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒321-4415  栃木県真岡市下篭谷99,36.4941476,139.9977745,"開園：8:30～18:30 11月～2月は17:30まで
その他：8:30～18:00 運動施設。冬期は17:00まで",,,,
